模型名稱,Macro F1-Score,整體準確率,待加強_F1,尚可_F1,精熟_F1,模型路徑,訓練時間戳
BERT (bert-base-chinese),0.9555018786902845,0.9724137931034482,0.9739130434782609,0.9925925925925926,0.9,./results/bert-base-chinese_20260111_022231/final_model,20260111_022231
RoBERTa (hfl/chinese-roberta-wwm-ext),0.9947297437493515,0.993103448275862,0.9915966386554622,0.9925925925925926,1.0,./results/roberta-chinese_20260111_034253/final_model,20260111_034253
