Epoch,Eval_Loss,Eval_Accuracy,待加強_precision,待加強_recall,待加強_f1,待加強_accuracy,尚可_precision,尚可_recall,尚可_f1,尚可_accuracy,精熟_precision,精熟_recall,精熟_f1,精熟_accuracy
1.0,0.38342994451522827,0.8344827586206897,1.0,0.8983050847457628,0.9464285714285714,0.8983050847457628,0.7391304347826086,1.0,0.85,1.0,0.0,0.0,0.0,0.0
2.0,0.10495922714471817,0.9724137931034482,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9848484848484849,0.9558823529411765,0.9701492537313433,0.9558823529411765,0.8571428571428571,1.0,0.9230769230769231,1.0
3.0,0.0971120297908783,0.9862068965517241,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9473684210526315,1.0,0.972972972972973,1.0
4.0,0.10823378711938858,0.9862068965517241,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9473684210526315,1.0,0.972972972972973,1.0
5.0,0.05481854826211929,0.9862068965517241,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9473684210526315,1.0,0.972972972972973,1.0
6.0,0.0370233915746212,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
7.0,0.03927667438983917,0.9862068965517241,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.9473684210526315,1.0,0.972972972972973,1.0
8.0,0.028430497273802757,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
9.0,0.06818435341119766,0.9862068965517241,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9473684210526315,1.0,0.972972972972973,1.0
10.0,0.12017298489809036,0.9793103448275862,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9850746268656716,0.9705882352941176,0.9777777777777777,0.9705882352941176,0.9,1.0,0.9473684210526315,1.0
11.0,0.12944062054157257,0.9724137931034482,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9848484848484849,0.9558823529411765,0.9701492537313433,0.9558823529411765,0.9,1.0,0.9473684210526315,1.0
12.0,0.1043872982263565,0.9793103448275862,1.0,0.9830508474576272,0.9914529914529915,0.9830508474576272,0.9850746268656716,0.9705882352941176,0.9777777777777777,0.9705882352941176,0.9,1.0,0.9473684210526315,1.0
13.0,0.028405284509062767,0.9862068965517241,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,1.0,1.0,1.0,1.0
14.0,0.061883967369794846,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
15.0,0.04823629930615425,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
16.0,0.04818248748779297,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
17.0,0.049899931997060776,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
18.0,0.04982747882604599,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
19.0,0.04882431402802467,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
20.0,0.048805754631757736,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
21.0,0.047328926622867584,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
22.0,0.04731331020593643,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
23.0,0.04765630513429642,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
24.0,0.04876483976840973,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
25.0,0.04849962145090103,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
26.0,0.047671135514974594,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
27.0,0.04674272611737251,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
28.0,0.047394994646310806,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
29.0,0.04754400998353958,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
30.0,0.04775390401482582,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
31.0,0.04786860570311546,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
32.0,0.048827163875103,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
33.0,0.050512079149484634,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
34.0,0.050330471247434616,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
35.0,0.05035332217812538,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
36.0,0.050519101321697235,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
37.0,0.050727132707834244,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
38.0,0.05074647441506386,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
39.0,0.0507730208337307,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
40.0,0.0508003793656826,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
40.0,0.0370233915746212,0.993103448275862,0.9833333333333333,1.0,0.9915966386554622,1.0,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,1.0,1.0,1.0,1.0
