Epoch,Eval_Loss,Eval_Accuracy,待加強_precision,待加強_recall,待加強_f1,待加強_accuracy,尚可_precision,尚可_recall,尚可_f1,尚可_accuracy,精熟_precision,精熟_recall,精熟_f1,精熟_accuracy
1.0,1.044065237045288,0.5070422535211268,0.4,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.7941176470588235,0.5294117647058824,0.6352941176470588,0.5294117647058824,0.21875,0.5384615384615384,0.3111111111111111,0.5384615384615384
2.0,1.0078498125076294,0.22535211267605634,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.1111111111111111,0.058823529411764705,0.19117647058823528,1.0,0.32098765432098764,1.0
3.0,0.5059062838554382,0.9014084507042254,0.875,1.0,0.9333333333333333,1.0,0.8928571428571429,0.9803921568627451,0.9345794392523364,0.9803921568627451,1.0,0.5384615384615384,0.7,0.5384615384615384
4.0,0.3182198703289032,0.9154929577464789,1.0,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.9259259259259259,0.9803921568627451,0.9523809523809523,0.9803921568627451,0.8181818181818182,0.6923076923076923,0.75,0.6923076923076923
5.0,0.13946612179279327,0.971830985915493,0.875,1.0,0.9333333333333333,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.9230769230769231,0.96,0.9230769230769231
6.0,0.11756060272455215,0.971830985915493,0.875,1.0,0.9333333333333333,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.9230769230769231,0.96,0.9230769230769231
7.0,0.1862000972032547,0.971830985915493,1.0,1.0,1.0,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
8.0,0.17772847414016724,0.971830985915493,0.875,1.0,0.9333333333333333,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.9230769230769231,0.96,0.9230769230769231
9.0,0.1570824235677719,0.971830985915493,0.875,1.0,0.9333333333333333,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.9230769230769231,0.96,0.9230769230769231
10.0,0.14850638806819916,0.971830985915493,0.875,1.0,0.9333333333333333,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,1.0,0.9230769230769231,0.96,0.9230769230769231
10.0,0.1862000972032547,0.971830985915493,1.0,1.0,1.0,1.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
