seed,accuracy,macro_precision,macro_recall,macro_f1,待加強_f1,尚可_f1,精熟_f1
42,0.8055555555555556,0.8201058201058201,0.5648926237161531,0.6257309941520468,0.4,0.8771929824561403,0.6
7,0.7222222222222222,0.6333333333333333,0.7007469654528479,0.6597222222222222,0.625,0.7916666666666666,0.5625
123,0.7777777777777778,0.7210922787193974,0.569094304388422,0.6126262626262626,0.4,0.8545454545454545,0.5833333333333334
2024,0.8055555555555556,0.7304255035347472,0.7334267040149393,0.728354011579818,0.6153846153846154,0.86,0.7096774193548387
999,0.7638888888888888,0.695204678362573,0.6316526610644257,0.6327832783278328,0.4,0.8316831683168316,0.6666666666666666
