metric,mean,std,min,max
accuracy,0.7749999999999999,0.03458305443885761,0.7222222222222222,0.8055555555555556
macro_precision,0.7200323228111742,0.06755918382834168,0.6333333333333333,0.8201058201058201
macro_recall,0.6399626517273576,0.0760873668391601,0.5648926237161531,0.7334267040149393
macro_f1,0.6518433537816365,0.04609522579680329,0.6126262626262626,0.728354011579818
待加強_f1,0.488076923076923,0.12065219709032195,0.4,0.625
尚可_f1,0.8430176543970186,0.0329948397555386,0.7916666666666666,0.8771929824561403
精熟_f1,0.6244354838709678,0.0615876289901587,0.5625,0.7096774193548387
