Epoch,Eval_Loss,Eval_Accuracy,待加強_precision,待加強_recall,待加強_f1,待加強_accuracy,尚可_precision,尚可_recall,尚可_f1,尚可_accuracy,精熟_precision,精熟_recall,精熟_f1,精熟_accuracy
1.0,1.0347596406936646,0.7183098591549296,0.0,0.0,0.0,0.0,0.7183098591549296,1.0,0.8360655737704918,1.0,0.0,0.0,0.0,0.0
2.0,1.062635898590088,0.6619718309859155,0.0,0.0,0.0,0.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8823529411764706,0.25,0.15384615384615385,0.19047619047619047,0.15384615384615385
3.0,0.9051440358161926,0.4788732394366197,0.2,1.0,0.3333333333333333,1.0,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.4117647058823529,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.46153846153846156
4.0,0.6997789144515991,0.7605633802816901,0.75,0.42857142857142855,0.5454545454545454,0.42857142857142855,0.8695652173913043,0.7843137254901961,0.8247422680412371,0.7843137254901961,0.5238095238095238,0.8461538461538461,0.6470588235294118,0.8461538461538461
5.0,0.6506714224815369,0.8028169014084507,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.88,0.8627450980392157,0.8712871287128713,0.8627450980392157,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.6153846153846154
6.0,0.9341963529586792,0.8309859154929577,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8679245283018868,0.9019607843137255,0.8846153846153846,0.9019607843137255,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5384615384615384
7.0,0.9004631042480469,0.8591549295774648,0.875,1.0,0.9333333333333333,1.0,0.9183673469387755,0.8823529411764706,0.9,0.8823529411764706,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6923076923076923
8.0,1.314900517463684,0.8169014084507042,1.0,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.8823529411764706,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.6153846153846154
9.0,1.2395455837249756,0.8169014084507042,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.8823529411764706,0.5833333333333334,0.5384615384615384,0.56,0.5384615384615384
10.0,1.3372477293014526,0.8169014084507042,1.0,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.8823529411764706,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.6153846153846154
10.0,0.9004631042480469,0.8591549295774648,0.875,1.0,0.9333333333333333,1.0,0.9183673469387755,0.8823529411764706,0.9,0.8823529411764706,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6923076923076923
