Epoch,Eval_Loss,Eval_Accuracy,待加強_precision,待加強_recall,待加強_f1,待加強_accuracy,尚可_precision,尚可_recall,尚可_f1,尚可_accuracy,精熟_precision,精熟_recall,精熟_f1,精熟_accuracy
1.0,0.9606612920761108,0.6068965517241379,0.9545454545454546,0.3559322033898305,0.5185185185185185,0.3559322033898305,0.5447154471544715,0.9852941176470589,0.7015706806282722,0.9852941176470589,0.0,0.0,0.0,0.0
2.0,0.7261937260627747,0.7862068965517242,0.8548387096774194,0.8983050847457628,0.8760330578512396,0.8983050847457628,0.7349397590361446,0.8970588235294118,0.8079470198675497,0.8970588235294118,0.0,0.0,0.0,0.0
3.0,0.5887137651443481,0.8068965517241379,0.9298245614035088,0.8983050847457628,0.9137931034482759,0.8983050847457628,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.9411764705882353,0.0,0.0,0.0,0.0
4.0,0.49739354848861694,0.8206896551724138,0.9636363636363636,0.8983050847457628,0.9298245614035088,0.8983050847457628,0.7333333333333333,0.9705882352941176,0.8354430379746836,0.9705882352941176,0.0,0.0,0.0,0.0
5.0,0.44844427704811096,0.8344827586206897,1.0,0.8983050847457628,0.9464285714285714,0.8983050847457628,0.7391304347826086,1.0,0.85,1.0,0.0,0.0,0.0,0.0
6.0,0.32788902521133423,0.8275862068965517,1.0,0.8813559322033898,0.9369369369369369,0.8813559322033898,0.7391304347826086,1.0,0.85,1.0,0.0,0.0,0.0,0.0
7.0,0.18305987119674683,0.9517241379310345,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,0.9436619718309859,0.9852941176470589,0.9640287769784173,0.9852941176470589,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
8.0,0.17135070264339447,0.9379310344827586,1.0,0.9661016949152542,0.9827586206896551,0.9661016949152542,0.9178082191780822,0.9852941176470589,0.950354609929078,0.9852941176470589,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666
9.0,0.12897631525993347,0.9655172413793104,1.0,0.9661016949152542,0.9827586206896551,0.9661016949152542,1.0,0.9558823529411765,0.9774436090225563,0.9558823529411765,0.782608695652174,1.0,0.8780487804878049,1.0
10.0,0.10118730366230011,0.9724137931034482,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,0.8181818181818182,1.0,0.9,1.0
11.0,0.147224560379982,0.9586206896551724,0.9824561403508771,0.9491525423728814,0.9655172413793104,0.9491525423728814,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.8,0.8888888888888888,0.8421052631578947,0.8888888888888888
12.0,0.15675604343414307,0.9586206896551724,1.0,0.9322033898305084,0.9649122807017544,0.9322033898305084,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.7727272727272727,0.9444444444444444,0.85,0.9444444444444444
13.0,0.14916063845157623,0.9655172413793104,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.782608695652174,1.0,0.8780487804878049,1.0
14.0,0.13530009984970093,0.9655172413793104,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.782608695652174,1.0,0.8780487804878049,1.0
15.0,0.15707091987133026,0.9655172413793104,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
16.0,0.16227637231349945,0.9655172413793104,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.782608695652174,1.0,0.8780487804878049,1.0
17.0,0.22033582627773285,0.9517241379310345,0.9655172413793104,0.9491525423728814,0.9572649572649573,0.9491525423728814,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.8888888888888888
18.0,0.23597204685211182,0.9586206896551724,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.8,0.8888888888888888,0.8421052631578947,0.8888888888888888
19.0,0.16821418702602386,0.9655172413793104,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,1.0,0.9852941176470589,0.9925925925925926,0.9852941176470589,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.8888888888888888
20.0,0.17337332665920258,0.9655172413793104,1.0,0.9491525423728814,0.9739130434782609,0.9491525423728814,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.782608695652174,1.0,0.8780487804878049,1.0
21.0,0.19241589307785034,0.9517241379310345,0.9354838709677419,0.9830508474576272,0.9586776859504132,0.9830508474576272,1.0,0.9705882352941176,0.9850746268656716,0.9705882352941176,0.8235294117647058,0.7777777777777778,0.8,0.7777777777777778
22.0,0.27390533685684204,0.9517241379310345,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,1.0,0.9558823529411765,0.9774436090225563,0.9558823529411765,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.8888888888888888
