Epoch,Eval_Loss,Eval_Accuracy,待加強_precision,待加強_recall,待加強_f1,待加強_accuracy,尚可_precision,尚可_recall,尚可_f1,尚可_accuracy,良好_precision,良好_recall,良好_f1,良好_accuracy,精熟_precision,精熟_recall,精熟_f1,精熟_accuracy
1.0,0.5153828263282776,0.8190954773869347,1.0,0.9,0.9473684210526315,0.9,0.9714285714285714,0.6666666666666666,0.7906976744186046,0.6666666666666666,0.5555555555555556,0.5263157894736842,0.5405405405405406,0.5263157894736842,0.8403361344537815,1.0,0.91324200913242,1.0
2.0,0.20245666801929474,0.9547738693467337,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.98,0.9607843137254902,0.8260869565217391,1.0,0.9047619047619048,1.0,0.9893617021276596,0.93,0.9587628865979382,0.93
3.0,0.09221808612346649,0.9698492462311558,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,0.9900990099009901,0.9803921568627451,0.8837209302325582,1.0,0.9382716049382716,1.0,0.9895833333333334,0.95,0.9693877551020408,0.95
3.0,0.09221808612346649,0.9698492462311558,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,0.9900990099009901,0.9803921568627451,0.8837209302325582,1.0,0.9382716049382716,1.0,0.9895833333333334,0.95,0.9693877551020408,0.95
